City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,taoudenni,22.6783,-3.9836,32.93,17,5,7.92,ML,1696299256
1,olonkinbyen,70.9221,-8.7187,2.88,84,77,7.18,SJ,1696299216
2,port-aux-francais,-49.35,70.2167,2.33,76,75,15.36,TF,1696299210
3,road town,18.4167,-64.6167,29.05,84,75,3.09,VG,1696299166
4,waitangi,-43.9535,-176.5597,8.23,93,100,6.71,NZ,1696299211
5,ribeira grande,38.5167,-28.7,18.21,80,0,4.02,PT,1696299231
6,iqaluit,63.7506,-68.5145,2.61,86,100,4.92,CA,1696299015
7,aasiaat,68.7098,-52.8699,-8.81,80,3,4.24,GL,1696299209
8,stanley,54.868,-1.6985,8.77,92,20,2.06,GB,1696298925
9,konarka,19.9,86.1167,28.22,89,100,4.16,IN,1696299698
10,kapuskasing,49.4169,-82.4331,21.0,68,89,5.66,CA,1696299063
11,ushuaia,-54.8,-68.3,5.81,70,40,4.12,AR,1696299216
12,adamstown,-25.066,-130.1015,20.42,73,15,9.6,PN,1696299209
13,bredasdorp,-34.5322,20.0403,12.33,92,0,2.29,ZA,1696299212
14,hailin,44.5833,129.4167,15.1,55,33,2.39,CN,1696299699
15,capinota,-17.7167,-66.2333,22.67,57,8,2.68,BO,1696299699
16,port mathurin,-19.6833,63.4167,23.58,80,15,7.09,MU,1696299699
17,bellevue,47.6104,-122.2007,14.71,94,100,2.06,US,1696299500
18,puerto ayora,-0.7393,-90.3518,23.08,98,80,3.58,EC,1696299699
19,puerto natales,-51.7236,-72.4875,2.91,96,100,1.87,CL,1696299699
20,edinburgh of the seven seas,-37.0676,-12.3116,10.01,57,81,9.74,SH,1696299699
21,sandnessjoen,66.0217,12.6316,7.29,85,100,8.93,NO,1696299699
22,albany,42.6001,-73.9662,14.8,87,15,1.24,US,1696299699
23,west island,-12.1568,96.8225,26.99,65,75,6.69,CC,1696299699
24,whitehorse,60.7161,-135.0538,10.43,65,75,5.66,CA,1696299700
25,college,64.8569,-147.8028,4.48,65,40,3.6,US,1696299700
26,grytviken,-54.2811,-36.5092,1.45,61,97,4.88,GS,1696299700
27,praia,14.9215,-23.5087,25.3,88,20,3.09,CV,1696299700
28,poronaysk,49.2167,143.1167,10.72,90,100,9.13,RU,1696299700
29,swakopmund,-22.6833,14.5333,12.77,89,6,2.24,NA,1696299700
30,petropavlovsk-kamchatsky,53.0452,158.6483,8.03,88,75,6.71,RU,1696299700
31,aqadyr,48.2553,72.8483,6.39,87,45,3.43,KZ,1696299700
32,longyearbyen,78.2186,15.6401,-3.09,74,75,6.69,SJ,1696299700
33,skive,56.5667,9.0333,13.29,92,100,0.45,DK,1696299700
34,kingston,17.997,-76.7936,27.53,93,20,2.06,JM,1696299408
35,udachny,66.4167,112.4,-3.64,73,74,3.61,RU,1696299108
36,bilibino,68.0546,166.4372,-5.02,92,98,0.71,RU,1696299216
37,lulea,65.5842,22.1547,5.04,100,100,1.03,SE,1696299701
38,dawson creek,55.7666,-120.2362,10.8,46,0,3.6,CA,1696299701
39,kruisfontein,-34.0033,24.7314,17.59,39,0,3.41,ZA,1696299222
40,cockburn town,21.4612,-71.1419,28.62,76,49,6.19,TC,1696299382
41,dondo,-19.6094,34.7431,18.88,72,10,2.15,MZ,1696299701
42,sultanah,24.4926,39.5857,32.25,25,0,2.57,SA,1696299701
43,visby,57.6409,18.296,15.12,94,100,3.6,SE,1696299660
44,hithadhoo,-0.6,73.0833,27.73,74,69,5.26,MV,1696299216
45,ghat,24.9647,10.1728,25.77,38,0,1.53,LY,1696299702
46,island harbour,50.724,-1.2758,14.43,89,100,1.79,GB,1696299702
47,fisterra,42.9049,-9.2629,18.19,85,98,5.02,ES,1696299245
48,tarawa,1.419,172.984,32.05,70,40,3.09,KI,1696299237
49,ocampo,21.65,-101.5,17.04,69,96,6.99,MX,1696299702
50,metlili chaamba,32.2667,3.6333,20.52,52,0,2.57,DZ,1696299702
51,yellowknife,62.456,-114.3525,9.67,98,85,0.45,CA,1696298978
52,takaungu,-3.6837,39.8566,24.22,87,28,5.74,KE,1696299702
53,warri,5.5167,5.75,24.92,92,100,1.48,NG,1696299702
54,georgetown,5.4112,100.3354,30.53,77,88,1.09,MY,1696299185
55,sebastian,35.1668,-94.2669,25.31,54,15,1.97,US,1696299703
56,tayoltita,24.0833,-105.9333,21.49,94,1,1.09,MX,1696299703
57,san antonio de pale,-1.4014,5.6325,25.43,84,100,5.38,GQ,1696299213
58,saldanha,-33.0117,17.9442,15.1,89,0,7.94,ZA,1696299258
59,kinchil,20.9167,-89.95,29.47,85,95,2.26,MX,1696299703
60,feira nova,-7.9508,-35.3892,20.19,90,3,0.88,BR,1696299703
61,gandajika,-6.75,23.95,21.49,80,12,2.09,CD,1696299404
62,queenstown,-31.8976,26.8753,17.07,40,0,2.52,ZA,1696298985
63,cabedelo,-6.9811,-34.8339,23.37,76,22,4.62,BR,1696299236
64,geraldton,-28.7667,114.6,20.23,40,71,7.2,AU,1696299055
65,invercargill,-46.4,168.35,16.12,48,5,2.68,NZ,1696299070
66,wailua homesteads,22.0669,-159.378,28.24,78,40,4.63,US,1696299063
67,anadyr,64.75,177.4833,4.28,60,0,6.0,RU,1696299213
68,argo,37.6333,22.7333,18.21,65,5,1.97,GR,1696299704
69,coquimbo,-29.9533,-71.3436,13.85,82,100,2.06,CL,1696299211
70,choibalsan,48.0667,114.5,7.62,30,25,7.56,MN,1696299704
71,touros,-5.1989,-35.4608,24.98,83,19,5.65,BR,1696299233
72,ban houakhoua,20.2453,100.4547,25.59,87,74,0.16,LA,1696299704
73,oak hill,37.9723,-81.1487,17.17,82,0,1.08,US,1696299705
74,bikenibeu village,1.3673,173.1241,31.98,70,40,3.09,KI,1696299376
75,necochea,-38.5473,-58.7368,9.34,94,100,4.23,AR,1696299405
76,manaure,11.7751,-72.4445,28.58,83,90,3.8,CO,1696299706
77,ilulissat,69.2167,-51.1,-1.99,37,0,9.26,GL,1696299081
78,esmeraldas,-19.7625,-44.3139,23.74,88,19,1.39,BR,1696299706
79,mossel bay,-34.1831,22.146,15.92,70,0,3.63,ZA,1696299247
80,vorgashor,67.5833,63.95,1.1,79,99,7.34,RU,1696299213
81,ancud,-41.8697,-73.8203,6.42,73,95,0.52,CL,1696299377
82,sao vicente,-23.9631,-46.3919,21.1,26,100,1.81,BR,1696299223
83,boda,4.3189,17.4695,21.69,96,100,1.3,CF,1696299707
84,rosso,16.4986,-15.8153,28.51,65,29,4.16,SN,1696299707
85,thompson,55.7435,-97.8558,6.09,93,100,1.03,CA,1696298972
86,ust-tsilma,65.441,52.1498,3.67,81,54,4.47,RU,1696299708
87,remire-montjoly,4.9167,-52.2667,26.02,89,0,0.51,GF,1696299218
88,dudinka,69.4058,86.1778,1.46,96,100,10.28,RU,1696298990
89,tavsanli,39.5424,29.4987,9.5,92,28,1.6,TR,1696299708
90,robit,12.0167,39.6333,20.28,55,75,0.9,ET,1696299708
91,happy valley-goose bay,53.3168,-60.3315,5.17,70,75,3.09,CA,1696299178
92,avarua,-21.2078,-159.775,23.03,64,75,6.69,CK,1696299096
93,hamilton,39.1834,-84.5333,22.44,77,0,0.0,US,1696299708
94,abu ghurayb,33.3083,44.185,23.97,50,0,0.0,IQ,1696299709
95,weno,7.4515,151.8468,31.97,70,75,1.54,FM,1696299219
96,hadibu,12.65,54.0333,26.42,84,23,1.95,YE,1696299242
97,vredendal,-31.6683,18.5012,15.0,73,0,1.05,ZA,1696299709
98,kangding,30.0513,101.9603,17.41,82,73,1.02,CN,1696299709
99,portland,45.5234,-122.6762,14.5,95,100,5.81,US,1696299254
100,hermanus,-34.4187,19.2345,14.58,91,0,2.22,ZA,1696299221
101,hawaiian paradise park,19.5933,-154.9731,26.04,83,100,2.06,US,1696299217
102,smithers,54.7804,-127.1743,9.18,87,20,1.54,CA,1696299225
103,isafjordur,66.0755,-23.124,1.15,93,100,7.28,IS,1696299225
104,brisas de zicatela,15.8369,-97.0419,26.29,69,100,1.03,MX,1696299390
105,tegueste,28.5167,-16.3167,24.64,29,0,2.57,ES,1696299710
106,cestos city,5.46,-9.5828,25.08,89,73,4.06,LR,1696299710
107,alaghsas,17.0187,8.0168,27.47,42,76,3.15,NE,1696299410
108,williams lake,52.1415,-122.1445,10.76,94,75,1.03,CA,1696299710
109,mount isa,-20.7333,139.5,33.87,17,0,6.17,AU,1696299232
110,el granada,37.5027,-122.4694,21.14,74,40,7.72,US,1696299367
111,rosarito,32.3333,-117.0333,18.54,66,0,4.77,MX,1696299710
112,kerikeri,-35.2268,173.9474,19.39,61,0,0.89,NZ,1696299233
113,zag,46.9441,99.165,3.28,53,0,2.27,MN,1696299710
114,arawa,-6.2132,155.5367,30.79,72,78,1.93,PG,1696299710
115,lubango,-14.9172,13.4925,18.84,38,48,1.01,AO,1696299710
116,maxixe,-23.8597,35.3472,20.02,62,97,2.49,MZ,1696299711
117,port lincoln,-34.7333,135.8667,15.27,56,73,8.83,AU,1696299232
118,saint-philippe,-21.3585,55.7679,20.77,82,13,0.51,RE,1696299390
119,chui,-33.6971,-53.4616,11.0,94,62,2.72,UY,1696299385
120,bella vista,36.4295,-94.2316,24.22,78,20,2.06,US,1696299711
121,qaqortoq,60.7167,-46.0333,3.18,82,100,1.58,GL,1696299208
122,funadhoo,6.15,73.2667,27.68,78,100,7.64,MV,1696299711
123,freetown,8.484,-13.2299,24.84,100,75,2.06,SL,1696299711
124,fort st. john,56.2499,-120.8529,8.53,58,11,3.97,CA,1696299073
125,papatowai,-46.5619,169.4708,13.38,41,5,3.54,NZ,1696299210
126,klyuchi,52.2667,79.1667,4.48,52,16,3.3,RU,1696299213
127,szczytno,53.5626,20.9875,15.96,82,0,2.06,PL,1696299695
128,port shepstone,-30.7414,30.455,15.98,78,0,6.55,ZA,1696299711
129,cabo san lucas,22.8909,-109.9124,30.9,72,20,6.17,MX,1696299136
130,margaret river,-33.95,115.0667,14.26,63,100,4.49,AU,1696299211
131,horta,38.5333,-28.6333,17.79,80,0,4.02,PT,1696299255
132,bethel,41.3712,-73.414,16.63,86,0,0.0,US,1696299209
133,jamestown,42.097,-79.2353,16.8,92,0,0.0,US,1696299129
134,ivolginsk,51.7492,107.2837,1.81,80,20,2.0,RU,1696299712
135,haiku-pauwela,20.9219,-156.3051,30.01,59,40,7.2,US,1696299260
136,kolyvan',55.3053,82.7391,0.79,62,3,1.94,RU,1696299712
137,tazovsky,67.4667,78.7,7.44,94,100,7.3,RU,1696299221
138,afaahiti,-17.75,-149.2833,25.93,86,65,6.17,PF,1696299222
139,margate,51.3813,1.3862,17.95,79,100,1.79,GB,1696298964
140,la ronge,55.1001,-105.2842,7.14,93,100,2.57,CA,1696299114
141,new norfolk,-42.7826,147.0587,20.72,79,88,3.6,AU,1696299226
142,blackmans bay,-43.0167,147.3167,20.07,66,72,4.36,AU,1696299213
143,winnemucca,40.973,-117.7357,11.03,71,100,1.54,US,1696299712
144,kodiak,57.79,-152.4072,7.73,46,0,9.26,US,1696299077
145,vilyuysk,63.7553,121.6247,-0.56,77,32,2.24,RU,1696299712
146,nampa,43.5407,-116.5635,15.66,66,20,2.06,US,1696299713
147,mahibadhoo,3.7833,72.9667,27.02,81,100,4.18,MV,1696299713
148,port saint john's,-31.6229,29.5448,18.75,61,0,4.87,ZA,1696299399
149,sodra sandby,56.5667,16.6167,15.5,95,100,2.4,SE,1696299713
150,ust-nera,64.5667,143.2,1.79,68,30,1.34,RU,1696299215
151,ola,59.5833,151.2833,12.86,59,82,4.65,RU,1696299241
152,imbituba,-28.24,-48.6703,13.17,82,0,2.59,BR,1696299408
153,berezovyy,51.6667,135.7,11.44,63,66,0.65,RU,1696299713
154,berdigestyakh,62.0989,126.6992,0.72,91,100,3.13,RU,1696299713
155,daye,30.0833,114.95,20.0,94,100,1.94,CN,1696299713
156,talnakh,69.4865,88.3972,1.23,96,100,7.56,RU,1696299061
157,port elizabeth,-33.918,25.5701,19.06,51,0,2.06,ZA,1696299220
158,mamuju,-2.6748,118.8885,29.44,73,85,1.72,ID,1696299714
159,primero de mayo,-32.2552,-58.4228,12.68,84,45,4.35,AR,1696299714
160,vryburg,-26.9566,24.7284,15.44,56,0,4.68,ZA,1696299714
161,arraial do cabo,-22.9661,-42.0278,20.66,88,100,0.67,BR,1696299217
162,puerto ayacucho,5.6639,-67.6236,25.94,84,85,2.01,VE,1696299714
163,tzaneen,-23.8332,30.1635,11.94,85,0,0.68,ZA,1696299714
164,ajaigarh,24.9,80.2667,25.29,86,100,1.63,IN,1696299714
165,tiksi,71.6872,128.8694,-2.24,81,91,7.95,RU,1696299213
166,kupang,-10.1667,123.5833,33.32,49,20,3.09,ID,1696299118
167,prince george,53.9166,-122.753,9.79,89,100,1.54,CA,1696299715
168,chrysoupolis,40.9856,24.6939,19.38,59,10,2.15,GR,1696299715
169,sakakah,29.9697,40.2064,23.76,34,99,3.42,SA,1696299715
170,ternate,0.8,127.4,28.28,75,94,2.74,ID,1696299715
171,nuuk,64.1835,-51.7216,3.34,75,100,2.06,GL,1696299228
172,uturoa,-16.7333,-151.4333,26.04,81,3,7.33,PF,1696299255
173,nhamunda,-2.1861,-56.7131,28.1,51,100,2.3,BR,1696299715
174,qui nhon,13.7667,109.2333,27.65,81,100,2.37,VN,1696299410
175,kamen'-rybolov,44.7481,132.0403,14.2,58,11,1.34,RU,1696299715
176,yuci,37.6803,112.7319,15.86,59,0,1.0,CN,1696299715
177,riviere-du-loup,47.8304,-69.5342,18.15,52,36,4.63,CA,1696299208
178,cidreira,-30.1811,-50.2056,14.59,81,3,2.47,BR,1696299097
179,igarka,67.4667,86.5833,1.89,100,100,8.58,RU,1696299244
180,lugus,5.7036,120.8203,28.67,74,28,3.32,PH,1696299716
181,xiva,41.3783,60.3639,8.99,39,74,4.07,UZ,1696299716
182,irece,-11.3042,-41.8558,27.22,39,50,3.4,BR,1696299716
183,mersa matruh,31.3525,27.2453,22.11,64,40,5.14,EG,1696299716
184,enewetak,11.3474,162.3373,28.39,79,100,4.96,MH,1696299087
185,songling,31.1933,120.7176,20.85,77,100,2.21,CN,1696299716
186,bremervorde,53.4833,9.1333,16.99,86,100,4.96,DE,1696299716
187,keflavik,64.0049,-22.5624,6.24,81,75,5.66,IS,1696299220
188,lompoc,34.6391,-120.4579,19.32,85,0,12.52,US,1696299363
189,hobyo,5.3505,48.5268,25.56,89,4,6.68,SO,1696299716
190,luganville,-15.5333,167.1667,25.65,79,96,7.11,VU,1696299233
191,la passe,45.5549,-0.8967,19.43,86,29,5.68,FR,1696299078
192,juneau,58.3019,-134.4197,10.12,97,100,6.17,US,1696299663
193,sitka,57.0531,-135.33,11.94,87,100,4.63,US,1696299229
194,fengzhou,24.9576,118.5337,27.98,60,83,1.66,CN,1696299717
195,karratha,-20.7377,116.8463,30.59,23,75,7.14,AU,1696299211
196,vadso,70.0744,29.7487,0.49,100,100,2.57,NO,1696299382
197,northam,51.0333,-4.2167,15.37,89,100,7.41,GB,1696299388
198,palmer,42.1584,-72.3287,14.65,82,0,0.0,US,1696299218
199,parambu,-6.2111,-40.6944,24.9,45,6,1.44,BR,1696299717
200,san pedro pochutla,15.7333,-96.4667,25.29,89,100,1.69,MX,1696299378
201,luwuk,-0.9516,122.7875,30.43,58,63,2.05,ID,1696299398
202,inarajan village,13.2736,144.7484,32.54,87,98,6.21,GU,1696299064
203,leon,21.1167,-101.6667,24.03,59,99,5.66,MX,1696299421
204,kailua-kona,19.6406,-155.9956,29.6,77,40,4.12,US,1696299174
205,iskateley,67.6803,53.1512,3.9,78,62,9.39,RU,1696299213
206,at taraf,25.3628,49.725,25.3,27,0,1.19,SA,1696299717
207,flying fish cove,-10.4217,105.6791,25.82,69,100,6.17,CX,1696299211
208,cacador,-26.7753,-51.015,13.26,96,0,1.28,BR,1696299535
209,santa luzia,-19.7697,-43.8514,23.76,81,0,0.0,BR,1696299718
210,gao,16.6362,1.637,31.38,30,57,3.68,ML,1696299248
211,egilsstadir,65.2653,-14.3948,3.95,93,100,3.09,IS,1696299066
212,as sulayyil,20.4607,45.5779,23.14,16,0,1.37,SA,1696299405
213,goure,13.9835,10.2704,25.85,54,100,1.53,NE,1696299403
214,kovdor,67.5662,30.4758,2.05,98,100,0.86,RU,1696299718
215,pariaman,-0.619,100.12,26.03,70,73,1.78,ID,1696299718
216,alice springs,-23.7,133.8833,34.75,14,40,7.72,AU,1696299248
217,luderitz,-26.6481,15.1594,17.37,66,0,2.35,NA,1696299069
218,kyelang,32.5833,77.0333,3.31,72,4,0.87,IN,1696299718
219,ocean shores,46.9737,-124.1563,15.57,98,100,3.09,US,1696299577
220,independencia,-5.3964,-40.3086,27.41,41,26,4.03,BR,1696299718
221,ephraim,39.3597,-111.5863,6.81,82,59,0.83,US,1696299718
222,qoryooley,1.7878,44.53,24.84,92,35,3.74,SO,1696299719
223,fabens,31.5023,-106.1586,28.62,25,84,3.74,US,1696299547
224,dunedin,-45.8742,170.5036,12.67,51,4,3.13,NZ,1696299719
225,magadan,59.5667,150.8,12.52,62,47,4.25,RU,1696299134
226,dar es salaam,-6.8235,39.2695,23.13,87,96,2.5,TZ,1696299719
227,banda aceh,5.5577,95.3222,28.22,72,100,5.45,ID,1696299244
228,vanino,49.0869,140.2543,13.29,56,57,6.5,RU,1696299719
229,redding,40.5865,-122.3917,23.57,45,20,1.54,US,1696299671
230,bada,51.392,109.8717,4.91,45,63,3.77,RU,1696299719
231,livingston,55.9029,-3.5226,11.58,90,40,3.6,GB,1696299704
232,boa vista,2.8197,-60.6733,31.99,45,0,2.57,BR,1696299303
233,luanda,-8.8368,13.2343,22.59,87,48,3.1,AO,1696299245
234,aykhal,66.0,111.5,-7.74,91,87,3.13,RU,1696299261
235,nova sintra,14.8667,-24.7167,23.25,82,17,5.5,CV,1696299261
236,fortuna,40.5982,-124.1573,15.37,80,40,4.12,US,1696299191
237,brookings,44.3114,-96.7984,25.19,50,0,5.66,US,1696299221
238,jilib,0.4883,42.7854,24.38,91,67,2.83,SO,1696299720
239,pacific grove,36.6177,-121.9166,16.35,85,0,2.24,US,1696299720
240,christchurch,-43.5333,172.6333,14.12,54,20,3.58,NZ,1696299262
241,calama,-22.4667,-68.9333,14.27,38,0,1.54,CL,1696299720
242,mount pearl,47.5166,-52.7813,8.92,95,0,3.09,CA,1696299397
243,owen sound,44.5672,-80.9435,21.2,86,20,1.79,CA,1696299604
244,novovarshavka,54.1721,74.6946,6.06,48,0,1.4,RU,1696299720
245,flin flon,54.7682,-101.865,6.11,96,100,1.84,CA,1696299216
246,san luis de la loma,17.2706,-100.8939,27.13,87,96,1.14,MX,1696299721
247,vennesla,58.2694,7.9741,10.71,92,75,2.06,NO,1696299253
248,punta arenas,-53.15,-70.9167,6.06,75,75,7.2,CL,1696298985
249,sihanoukville,10.6093,103.5296,26.97,89,75,4.63,KH,1696299456
250,chonchi,-42.6128,-73.8092,6.56,95,80,0.61,CL,1696299221
251,jining,35.405,116.5814,19.9,67,100,1.53,CN,1696299721
252,narasannapeta,18.4167,84.05,27.22,87,99,2.52,IN,1696299721
253,thal,35.4791,72.2439,11.2,53,0,2.54,PK,1696299721
254,kharabali,47.4196,47.2568,16.33,57,100,1.39,RU,1696299721
255,prince rupert,54.3161,-130.3201,12.05,89,75,2.06,CA,1696299225
256,sisimiut,66.9395,-53.6735,0.91,61,5,2.84,GL,1696299721
257,belgrade,44.804,20.4651,13.16,82,0,1.54,RS,1696299721
258,conde,-7.2597,-34.9075,22.7,94,0,2.06,BR,1696299722
259,amahai,-3.3333,128.9167,27.01,81,97,0.51,ID,1696299722
260,kolonia,50.9333,6.95,23.01,76,0,3.6,DE,1696299305
261,makushino,55.2103,67.2442,8.95,67,100,4.31,RU,1696299722
262,st. john's,47.5649,-52.7093,9.38,94,17,0.8,CA,1696299000
263,khandyga,62.6667,135.6,7.12,80,100,0.62,RU,1696299240
264,chiang mai,18.75,99.0,29.51,74,40,2.06,TH,1696299722
265,badger,64.8,-147.5333,4.43,67,75,3.6,US,1696299214
266,dzhangala,49.2167,50.3333,15.76,59,100,2.97,KZ,1696299722
267,novoazovs'k,47.1139,38.086,15.0,65,13,7.68,UA,1696299722
268,qandala,11.472,49.8728,28.06,65,1,0.36,SO,1696299722
269,sao paulo de olivenca,-3.3783,-68.8725,26.97,65,100,0.76,BR,1696299723
270,caribou,46.8606,-68.012,14.99,72,0,2.57,US,1696299723
271,praia da vitoria,38.7333,-27.0667,18.75,82,40,5.77,PT,1696299242
272,puerto deseado,-47.7503,-65.8938,7.52,74,4,1.66,AR,1696299723
273,galesong,-5.3166,119.3661,32.01,60,15,2.16,ID,1696299723
274,bani walid,31.7566,13.9942,19.35,77,0,2.76,LY,1696299723
275,pechora,65.1472,57.2244,2.14,82,19,3.13,RU,1696299723
276,atafu village,-8.5421,-172.5159,28.82,73,15,4.6,TK,1696299214
277,polatsk,55.4859,28.7756,9.4,88,99,2.83,BY,1696299723
278,portage la prairie,49.9728,-98.2926,14.38,71,94,1.7,CA,1696299287
279,at taj,24.2049,23.2857,23.45,39,97,4.53,LY,1696299724
280,leeton,-34.5667,146.4,28.38,31,100,10.3,AU,1696299724
281,dunlap,41.6378,-85.9217,20.32,92,0,0.0,US,1696299724
282,nar'yan-mar,67.6713,53.087,3.95,78,58,9.39,RU,1696299221
283,maceio,-9.6658,-35.7353,21.69,100,20,3.09,BR,1696299724
284,kawasaki,35.5206,139.7172,26.26,44,75,2.57,JP,1696299455
285,bratsk,56.1325,101.6142,0.27,91,71,3.43,RU,1696299724
286,bahia de caraquez,-0.6,-80.4167,24.1,80,93,4.58,EC,1696299724
287,alofi,-19.0595,-169.9187,23.94,69,100,9.77,NU,1696299243
288,bouafle,6.9904,-5.7442,24.01,99,100,1.77,CI,1696299725
289,naze,28.3667,129.4833,25.51,93,100,5.21,JP,1696299080
290,st. paul,44.9444,-93.0933,26.42,54,0,4.12,US,1696299524
291,sogndal,61.2283,7.1003,9.21,100,100,0.0,NO,1696299725
292,mahebourg,-20.4081,57.7,21.81,94,20,2.57,MU,1696299725
